CUG_ID,TARGET_CUG_CNT
6130106,40
563564,3
43634,3561
6103091,1
44956,11
6130108,1
6103092,1
6132765,3
6130109,3
43637,2
6103093,3
6132766,1
591603,1
42000,87
6160802,7
6103094,2
592925,7
563569,8
6158610,1
6132768,6
562249,1
6158611,1
6159932,1
6160804,5
6132769,2
6159933,1
6158612,3
6160805,1
589413,2
6103097,4
591607,2
6159934,5
564591,1
45982,1
563270,1
592929,2
42005,7
6133790,10
6159935,7
564592,3
45983,29
6158615,5
43342,4670
6158616,6
563273,27
42008,4
6133793,1
589419,19
45986,3
6132473,6
6158618,12
6133795,3
44667,27
45988,1
592632,2
6133797,5
43347,13
44668,16
6160511,21
591313,3
592634,3
6159640,1
6161834,2
6159641,14
6160513,19
6157000,15
6158322,7
6160515,7
6161837,2
6160516,4
593973,3
589125,1
592639,1
593974,1
43050,21
44371,7
6158324,3
6161838,2
6157004,2
533740,1
44372,3
6160518,1
589126,10
593975,5
44373,2
6158326,1
6159647,4
559900,5
593976,1
6157005,10
6160519,6
532420,169
6159648,1
44374,11
45695,12
6158327,4
533742,4
6102942,2
6157007,5
44375,28
6162860,16
6159649,12
6101621,3
6157008,1
6158329,1
533744,1
6162861,1
531102,3
43056,80
592342,30
6161542,1
591022,1
44378,3
43057,2
44379,936
6160222,5
6132187,6
6160223,2
593680,2
6162865,5
531106,3
6160224,4
6160225,6
6162867,5
592347,1
531108,3
44080,4
6162869,2
6160227,2
44081,6
6161549,1
6158035,3
6158036,5
44083,162
6158037,6
6103972,1
6102652,1
44085,75
6162571,1
6161250,1
6102653,1
593689,16
6102654,1
592052,3
44087,8
559615,1
533456,42
6161252,8
6103977,1
6162574,9
6101335,7
534778,226
6159060,607
533458,22
6161255,1
6162576,12
559618,6
6159062,5
559619,2
6102659,10
6159064,1
6128502,13
593394,20
562832,2
6161258,1
6103680,1
6159066,1
6159067,1
533161,9
562835,5
6159068,4
6128506,18
6129842,4
559322,4
6128507,5
593399,1
6162281,7
6128508,18
561200,1
6103685,1
6162282,10
6131720,39
6101043,7
6129845,2
6102365,4
533166,9
534487,37
562839,55
6162283,4
6130400,9
6130401,1
6103687,3
561202,2
533167,2
6162284,2
6103688,1
533168,1
6130402,12
6129847,12
6101046,17
6162286,5
6131724,20
6129848,6
6102368,2
6162288,3
43932,1
561208,1
6128215,5
562544,5
6102070,27
6131729,3
6102071,2
562545,4
6129551,15
6129552,1
534194,4
6102073,1
559033,13
6129553,4
6103394,2
589711,5
591904,4
562548,18
42301,1
43939,2228
6131430,1
6128219,35
589712,1
562549,2
6131431,6
6130111,10
534198,11
42303,3
6103397,49
6158913,1
591908,3
43640,737
44961,16
6130114,1
589716,19
6158915,5
6131435,15
564893,1
44963,10
6130115,42
6131436,1594
6158917,7
6130117,6
564896,1
591610,5
43645,35
6130119,1
6160810,1
591611,6
562255,6
43646,1510
6129262,8
592934,2
6159940,1
6160812,6
589421,1
42011,3
6131140,6
588100,1
6158620,27
6129264,5
6160814,1
6157300,1
42012,1
562259,1
589423,1
6157301,1
6158622,2
6159943,83
588103,3
45991,3
529506,32
6157302,13
6158623,1
591618,2
45992,1
44671,14
6157303,2
6158625,5
45993,64
6131145,5
6157305,13
6158627,1
42018,833
6159948,4
589429,1
43354,270
6158628,3
45997,2
6161840,1
563285,5
6131149,6
590000,1
531403,1
6157309,2
44677,9
45999,3
43357,6
563287,2
592644,50
590003,2
592645,5
6101927,20
6161846,2
6160525,1
44380,12
6160526,2
6161847,1
592648,1
6160527,2
6158334,2
6159655,1
6161848,9
591328,1
6158335,7
589136,6
533750,9
6102950,3
44383,3
6157015,5
6132192,1
6158337,3
43063,14
592350,2
6159659,1
593989,1
43065,73
6132194,21
6158339,13
6160230,1
6161551,4
44387,132
6101634,11
6161553,1
6162874,1
533757,3
6132198,1
593690,7
6161555,2
591035,2
6160234,5
6102958,35
559919,2
592357,1
6128801,6
6161556,5
593692,21
6100001,1
6160236,11
44090,177
6128803,1
6161558,3
6162879,1
6159365,12
534780,111
44091,1
6159366,6
533460,3
44092,31
6102660,5
6103981,5
6158047,3
44094,1
6158048,1
6128807,2
533463,9
534784,5
6158049,9
44096,7
6161260,4
6162581,3
6100008,2
6128809,2
592062,340
561500,7
6100009,1
592063,1
559625,12
44098,96
6162583,2
6159070,3
6130701,2
44099,15
6101346,3
6103989,1
592066,12
559628,6
6159072,4
6130704,1
6162587,4
561505,9
6128511,4
562841,2
6159074,2
561507,7
533170,1
6159076,2
6128514,41
6128516,1
559331,8
562845,1
6159078,1
6101050,10
6162290,6
6128518,1
534495,5
6102373,3
559333,2
533175,1
6101053,2
6131730,2
6102374,11
6129855,5
559336,1
6162294,13
533178,8
6129857,4
6103699,1
559338,3
561214,2
563871,7
6129859,2
562551,2
6162298,5
6130415,2
563873,7
6162299,2
6130417,1
6128224,1
563874,3
561219,1
6129560,26
6129561,3
6102081,5
591912,6
559042,10
562556,18
591913,1
559043,6
529802,6
562557,19
43948,7
6131440,1
6129564,4
588401,2
6157600,1
559046,2
588402,3
6131442,348
6129567,1
588403,4
559047,1
591917,1
42314,5
6157602,1
6130123,1
563580,1
44971,103
6157603,7
6158924,4
6129568,59
588405,6
563581,3
589726,10
529808,18
6130124,1
44973,5
6131446,5
563582,253
529809,2
6157605,3
589728,11
6132783,5
6130128,5
43655,17
6157608,3
6132784,8
563586,10
43656,2
592942,11
531704,5
6132786,10
591623,17
592944,3
563588,14
6160822,3
6132787,8
43659,1
588110,9
591624,10
531706,7
6158630,1
6131150,8
6129274,15
6159952,1
591625,1
562269,14
42022,8
6159953,5
6131152,3
42024,19
6157312,9
6159954,1
6131153,15
592949,1
563290,5
588114,2
43360,3
6159956,1
6129279,1
6157314,2
588115,6
42026,3
563292,2
6159957,5
532730,4
44683,7
6132491,4
44684,53
42028,1047
6157316,5
6101930,3
6131158,1
44685,1
43364,14
591330,4
592652,1
563296,28
6160530,2
6157319,2
43367,12
6160532,1
592654,2
43368,10
44689,1075
6159660,16
6161853,4
6158340,4
6159661,2
6161854,1
531417,61
6157020,1
6159662,10
6160535,1
590015,1
593992,7
591336,1
592657,5
6157022,1
6161857,1
6158343,5
531419,3
6160536,1
44390,25
6101939,1
589144,7
593993,1
592658,1129
6161858,1
6100302,2
6159665,4
6159666,3
6157024,2
6100303,5
6157025,1
6158346,4
6159667,3
559920,2
6102961,9
559921,2
6162880,1
6159669,1
6157027,23
592360,2
531121,4
6161560,1
592361,1
6102963,1
6100307,1
531122,9
6162882,2
44397,6
6161561,2
6102964,56
591041,24
533765,2
6161562,1
6160241,1
561802,2
6160242,2
44399,2
6161563,9
6102966,38
6158050,2
6161564,6
6159372,1
6160244,5
6159373,1
6162887,2
6161566,1
531128,9
6158053,1
6128812,3
6161567,2
6159374,4
6101649,7
531129,18
6162889,3
6161568,6
591049,1
6103990,4
6161569,11
6158056,13
6159377,81
561809,3
533472,2
6101350,5
6128816,5
6159379,5
6102673,33
6100017,17
534795,69
6162591,49
534796,1
6102674,3
6100018,3
42901,413
592073,1
533476,2
6161272,1
6103996,4
6101354,3
561511,11
6103997,2
6162594,1
533477,14
533478,2
6130712,4
534799,1
42904,103
6162596,1
6101357,12
6159082,90
6161275,9
6162597,1
559639,1
6101358,5
561515,7
42906,21
6161276,387
561516,1
6101359,4
6128522,21
6128523,4
558003,25
6161279,5
6128525,5
6129861,1
6128526,12
6102382,1
6128527,1
533183,6
6159089,12
558008,1
6101062,1
42610,6
6102383,14
6129864,1
588701,2
561221,1
6157900,13
6131741,1
6101064,2
588702,1
42613,401
6157901,2
6131742,9
6157902,1
6130422,1
6128230,1
563880,6
559348,6
6130423,18
6129869,1
43951,5
6128231,1
6157904,2
6157905,3
588706,28
43952,36
563884,3
561228,4
6157908,1
559050,2
591920,10
43955,23
6157909,1
559051,48
591922,2
562567,1
559053,1
42320,9
6102093,6
588410,15
559054,7
562568,12
559055,1
6131451,9
42323,4
6158932,4
6130132,1
589734,13
529816,16
6130133,1
6158934,1
6157613,1
6131454,1
590607,6
529817,3
589736,1
6130134,1
588415,2
559059,14
43661,9
41005,5
6157614,3
6132790,28
6129579,23
6131456,1
43662,2
44983,2
42327,8
6158936,22
6132792,1
6158937,1
43663,32
6131457,6
6157617,1
6158938,1
6132793,2
563594,5
589739,1
44985,4
6157618,2
591631,1
562275,6
563596,5
6132795,1
529521,1
531714,10
43667,386
6132796,3
531715,1
6160832,2
563598,2
528202,1
592955,2
590313,3
562278,1
6158640,2
6132798,5
528203,1
6159962,2
588121,4
589442,6
6160835,1
528204,203
6160836,1
6159964,5
528205,3
591637,2
531719,15
6131163,10
592959,4
589445,6
528206,3
6159965,9
6159966,3
6131165,1
590318,1
6159967,4
528208,6
6131166,1
6156005,3
589448,2
43373,9
42038,2
6159968,11
592660,1
588128,1
588129,2
6100607,3
6158649,1
6157328,1
591340,5
590020,3
6157329,1
6161861,1
6156008,7
6101944,1
6156009,2
591342,18
592663,21
531425,2
6161863,1
43378,1
6159670,7
43379,20
6158350,10
6161864,12
589151,26
591344,6
531427,1
6158351,2
6159672,2
589152,20
592666,4
6160545,1
6157031,18
6101948,5
589153,2
6157032,3
6160546,1
6161868,2
6160547,1
589155,2
6100313,1
6160548,10
6161869,3
43082,3
6102970,85
6160549,1
6101651,2
592370,1
589159,1
6162890,4
592371,2
591051,1
592372,1
561810,1
43086,612
6160250,15
6162892,3
531134,2
561811,2
6160251,3
6162894,6
6101655,4
559936,1
6101656,4
6160253,7
6158060,1
592375,7
561813,3
6159382,7
6102978,5
533779,122
6159383,1
6161576,2
559939,9
6158062,13
561815,11
561816,2
6158063,1
6100021,2
6100022,7
6100023,1
6128824,2
6160258,3
6159386,5
6100024,22
6160259,6
6101360,1
559641,5
6159388,9
558307,1
6127506,1
592081,3
-1033223327,254
558308,1
42911,6
6128829,1
6100028,7
592082,1
533487,1
559646,10
6159091,1
560202,1
6102687,297
6161284,9
561524,1
42915,30
6159093,5
562860,19
560204,6
559649,2
42916,1
6161286,2
6130724,2
6101369,1
6130725,5
560205,1
42917,2
6127211,5
592089,43
562862,19
6159095,6
562863,1
6127213,1
533190,5
559350,1
558015,8
6129870,9
6159098,5
6130729,5
6129872,1
6101072,1
6129873,5
42621,1
558019,3
561230,3
6129874,1
6128539,3
6129875,1
559355,6
41301,4
6157910,1
6102395,8
6129876,1
6130431,1
41302,2
6101076,1
42624,80
6131753,4
41304,1
563890,1
588714,7
6128240,4
6101078,1
588715,5
562571,1
43962,172
6128242,4
6131756,2
6157916,2
563893,13
43963,9
562574,4
43965,1055
41309,20
6130438,16
6131759,966
591931,18
562575,17
43966,5
43967,5
42330,1
43968,47
6129583,3
562578,6
41010,1
589741,3
590613,11
559064,7
563899,4
6158940,7
6131460,5
559065,1
41011,1
6158941,4
6131461,5
6157620,4
6129585,3
528504,1
591936,5
6157621,5
6158943,2
6131463,2
6130143,4
6157623,2
41014,86
6131464,12
41015,2
43671,20
6156303,3
6131465,1
6156304,1
6131466,1
41017,2
6157626,2
6158947,1
587107,1
41018,52
44996,4
6156307,4
591640,16
592961,41
562284,40
6129291,2
590320,2
6156308,1
6130149,6
6156309,1
562286,5
590321,4
531724,12
6160841,3
529533,1
592965,1
43679,9
6131171,3
590324,1
528213,6
42042,18
6157330,24
6158652,135
6160845,1
6100611,1
590327,1
6156012,3
43380,2
528217,1
43381,14
6156013,1
6159976,6
6160848,1
589457,5
42047,2
6156014,2
6100614,4
6158657,1
43383,1
589458,25
6159978,2
6156016,1
42049,8
6158659,1
6161870,1
6100617,1
6156017,1
588139,5
6101952,1
6156018,4
6157339,4
590030,12
591352,1
592673,3
532755,2
590031,1
43388,1
589160,1
592675,1
6159681,2
6161874,8
6101957,2
6159682,6
589162,25
592676,10
6161876,1
6159683,6
6100320,15
558602,1
6157042,1
6161877,1
6160556,6
6101959,75
6160557,1
6158364,1
6157044,2
6100324,1
589167,1
531140,1
589168,1
6157046,2
6159689,3
589169,1
43094,7
6127806,1
592380,3
6161580,2
6158369,9
6161581,12
6100329,29
592383,7
531144,3
560501,2
591063,2
6160262,1
6161583,11
532466,8
6159391,1
561823,1
43099,5
6161584,4
6158070,10
531146,3
6158071,4
6160264,2
531147,3
6159392,12
6101667,15
6100030,3
6127510,63
559949,20
6159394,1
6128832,1
6159395,1
6158074,5
6160267,14
558313,11
6161589,1
591069,1
561828,1
6127513,1
6160268,1
6102690,1
6160269,1
6158076,22
6159397,22
6127514,8
6101370,4
6100035,6
558316,21
6127516,5
559652,4
533494,1
6158079,4
559653,10
559654,1
559655,1
6102695,2
6130730,1
533496,3
41601,5
42922,10
560211,1
6161293,1
592094,11
41602,6
42923,10
592095,8
533498,7
42924,58
532178,3
41604,1
6130733,4
592097,3
41605,59
6128541,11
41606,2
6161297,1
6127221,58
42928,1
6130736,1
562872,1
560216,110
6128543,5
6161298,4
6127224,3
6130738,11
560219,107
6129881,17
6130739,11
590911,12
562876,14
559363,1
561240,6
558029,7
562878,1
6131760,7
562879,6
6129885,3
42633,1
6130441,2
590915,5
41312,13
42634,2
6101087,2
6129888,1
43970,10
587403,4
588724,2
590917,1
528806,11
6129889,1
6101088,1
6157924,3
562580,1
561245,3
6156603,11
6156604,2
41316,3
43973,1
6157926,9
562582,2
6128253,5
6131767,2
591940,1
6129590,1
6130448,3
588729,29
41319,38
559071,2
6128256,2
529830,510
562585,8
6157929,13
591942,3
562586,4
6129592,12
6156609,1
43978,16
6129593,188
591944,2
589751,4
588430,17
590623,2
559074,14
562588,2
42342,4
562589,23
6158951,31
6131471,989
6156310,1
42343,1
591946,8
41023,2
6131473,3
6100911,8
6129597,5
6130153,2
587113,2
589755,6
529837,15
41024,3
6156312,3
562290,6
43681,8
6158955,2
6130154,6
6157635,1
590629,3
528518,10
6131477,2
43683,6
6158958,1
6100916,3
562295,1
6100918,1
591651,1
531733,91
6160850,6
528220,3
6160851,4
42050,139
6160852,91
589461,2
42051,58
43689,3
592976,1
6160854,2
6158661,39
42053,1
530100,6
6160856,4
530101,6
6157342,53
592979,1
6158664,1
6157343,1
6156022,3
6159985,10
590338,1
6157344,1
6160858,7
558905,2
6156024,1
6158666,10
588147,1
6158667,1
530105,8
589468,5
42058,1
6131187,3
530106,2
6159989,4
589469,2
6158668,10
6101961,20
6100626,5
530107,1
6156027,1
558908,2
6157348,6
591360,2
6101963,275
6101964,2
6161883,2
591363,3
560802,1
6161884,4
589171,8
590043,3
6159692,2
6160564,3
590044,1
6158372,1
531448,937
560804,12
590046,3
6127811,29
6160566,2
6101969,3
6158374,2
6159695,1
6157053,3
591368,1
592689,1
560806,9
6157054,6
6159696,11
6100334,1
6127814,1
6159697,10
6160569,11
558615,8
6159698,1
558616,2
559952,2
6161590,2
6158379,7
6127817,7
559953,12
592392,1
6161591,2
6160270,1
6101673,50
6127818,12
41901,2
6161593,2
6160272,8
561832,10
559956,8
41902,5
6158080,2
591074,1
559957,17
533798,25
561834,5
41904,1
559959,1
6160275,2
6128841,5
6127520,8
592397,4
6158083,1
6128842,2
6101679,1
531159,2
6100042,1
6161598,10
41907,28
6100043,1
41908,3
6161599,1
6158086,1
6160279,1
6100044,25
6128846,1
560519,7
6126204,3
558326,2
6101381,4
6100046,50
559662,2397
6158089,2
6100047,3
557008,2
6126207,4
42931,1
6100049,9
557009,21
6101385,2
560222,1
532187,1
41614,1
560223,286
42935,1280
6130743,10
6156903,6
41615,34
42936,1
6128551,5
587705,1
42937,57
560226,1
42938,2
587706,2
562882,5
560227,15
41618,2
6156906,5
6156907,7
562884,12
590920,1
587709,15
6101090,26
6128556,16
6130749,9
6156909,1
6129892,2
559372,20
6101091,15
6127236,16
6101092,1
562888,23
6131771,1
6157930,3
6130450,7
6129895,1
41322,59
6156610,2
6131772,1
6129896,3
6156611,1
588733,4
561253,3
6157932,6
6129897,44
6157933,3
6131774,2
559378,1
41324,454
6130453,17
41325,3
6157934,1
6130454,2
6129899,15
6157936,1
6156615,1
561257,1
588737,9
42648,2
43984,1
41328,5
6131779,1
43985,1
591950,7
561259,7
6128265,554
590630,2
591951,1
6156618,9
43987,5
559082,7
591952,4
6128267,4
42350,7
6158960,1
589761,10
6157640,2
6158961,1
588441,2
589762,2
587120,13
41031,38
42352,1
41032,1
587121,8
6158962,5
41033,2
528525,2
6130162,5
589764,5
588443,3
591957,18
6155000,3
587123,1
6130163,2
6156322,2
589765,5
6158964,6
6100922,12
42356,1
6158965,1
6155002,1
6157644,3
6130164,2
6158966,1
588446,4
589767,8
43693,130
588448,10
592980,6
589769,10
531741,5
530406,4
6158969,1
6156327,4
592981,16
43695,11
6130168,4
43696,3
6155007,5
6156328,8
592983,8
6155008,26
6156329,2
6155009,3
591663,3
42060,60
6159991,1
42061,1
591664,30
592985,24
529553,85
6158670,5
6131190,2
6160864,1
589472,2
592986,1
558910,1
6159992,1
558911,5
6158672,8
6159993,2
6100630,5
6160865,6
6131193,1
528235,2
592988,2
590346,4
591667,3
6157352,10
6159994,5
6160866,3
592989,7
588154,3
558913,13
528237,2
6158675,1
6131195,9
6159997,1
588156,1
558915,2
590349,14
6156034,4
6131196,12
6100634,1
589478,2
531450,2
558916,17
6159998,11
6156036,2
6159999,2
592691,1
531452,9
532773,2
6161890,2
6157359,1
6161891,1
6156038,6
592692,5
6160571,2
590051,3
6160572,45
6101975,30
560811,21
6101976,2
6161894,1
590053,17
592695,14
589182,1
6158381,9
6161895,10
6127820,1
532779,50
6157061,1
6158382,4
6101978,15
589183,15
558621,2
6158383,9
6160576,19
6157063,11
6158384,7
557302,12
590057,12
591378,7
6158385,4
557303,6
590058,3
6127824,1
558625,420
6158387,2
6126504,2
557305,32
560819,15
6127826,1
6100346,1
6157068,3
6127827,9
41910,2
6127828,1
591081,2
6160280,2
6157069,2
531163,459
591082,4
557309,1
6160281,14
6100349,54
6160282,5
560521,5
561843,1
531166,1
559968,6
6158091,9
560523,1
532488,3
6101688,4
531168,6
6158093,1
6126210,39
561846,29
558333,105
6127533,15
6160289,1
557014,1
6127534,3
41919,60
6158097,10
6128857,1
6126215,13
558337,16
559673,3
6101392,20
557017,16
6100058,1
6127538,6
6101394,2
42942,18
6156910,2
6130751,2
6130752,2
559677,3
41623,1
6156911,78
6101397,1
558040,4
41624,29
42946,24
6156914,2
6127242,2
41627,31
42948,26
562893,1
558044,3
560237,11
41628,19
6130757,14
558045,1
559380,1
41629,1078
558046,2
558047,18
6127246,65
6128568,1
558048,6
588740,5
6131780,4
587420,23
561261,10
559385,18
562899,6
41331,56
42652,5
590935,1
6157941,1
6130461,2
586100,5
587422,2
6131783,4
590936,3
530701,2
42654,7
6155301,2
43991,1
6128271,1
6131785,15
6155303,1
6130465,1
6128273,1
530705,3
6157946,4
6155304,2
586105,11
587426,14
6156626,1
43994,2
6155305,1
6128274,1
530706,10
41339,1
6128276,9
590640,2
530708,2
43996,26
6155308,1
529851,1
43997,4
590641,19
559093,1
590642,38
6128278,12
559094,12
42362,1
589772,1
591965,26
590645,3
588452,5
529855,2
6130171,1
530410,2
41042,1
6100930,19
6131493,1
6158973,7
6100932,1
6130173,3
6156332,20
6157653,58
6158974,3
528537,1
42366,1
590648,4
6156333,6
529859,2
530414,1
6155013,17
6156334,6
6130175,2
588457,4
6131498,1
592990,2
6157657,7
6158979,3
588459,1
6131499,1
6157659,3
6160870,4
6100938,10
529561,2
590351,2
6160873,1
592995,1
6157360,1
589482,8
528243,1
531758,95
6158682,17
6126800,6
6160876,1
588163,34
530121,1843
6156041,5
6100642,1
558923,32
42075,12
6158684,1
530123,3
528247,1
42076,1
589486,2
6157364,4
557604,4
530124,1
6157365,5
558926,1
557605,3
588167,3
6157366,18
6158687,1
6101980,7
6158688,1
532782,3
530126,30
6156047,1
557607,1
591381,2
531463,1
558929,9
6160580,1
6100648,6
6156049,1
6126808,1
557609,4
6101984,1
591382,1
6160582,5
531466,3
6158390,3
589192,1
560823,2
590064,2
558631,1
6100350,1
6160585,1
6157071,1
591387,1
6157072,1
557312,1
591388,2
6157073,4
6100352,2
6160587,1
591389,1
589196,6
6160588,5
6160589,8
6126514,2
558636,5
6101690,8
531170,234
6157077,3
6158398,14
6126515,5
6157078,1
559973,3
558638,1
6101693,1
6127838,1
6160290,1
41920,6
6160291,3
6101695,1
560531,2
41923,1
591094,2
6160293,2
6101696,2
561853,12
558340,3
6160294,4
591095,4
561854,1
558341,1
557020,18
41925,40
6128862,1
6101699,1
6126220,106
6127541,29
560535,8
41926,7
6100062,1
560536,2
561857,1
41927,56
6127543,1
41928,3
6100063,29
6160298,3
561858,23
558345,1
6160299,1
6128865,5
6100064,4
559680,13
557024,156
561859,4
41929,6
6126224,4
559681,12
6128867,3
6126226,1
557027,1
6127548,1
6100069,12
560240,17
6130760,1
41632,8
6156920,5
6130761,1
41633,12
6155600,9
6130763,7
41635,148
42956,14
6127250,5
6128571,7
561566,1
42957,2
41636,192
6127251,6
561567,2
587726,4
6127252,11
42959,1
6128574,1
6156926,2
6155605,14
6130767,16
586407,48
587728,27
41639,10
6127254,5
6130768,3
590940,2
558056,1
6155607,7
6130769,2
6128577,1
559392,7
6155608,1
558058,6
559393,6
6127258,6
559395,1
41341,712
6157950,19
41342,2
42663,2
6157951,1
586110,24
530710,24
6156630,3
590946,1
586111,2
561273,1
6130472,4
586112,1
6131794,2
6155311,2
559399,1
6128281,6
41345,22
6157954,7
42667,1
6155313,4
588756,1
41346,1
6128282,1
42668,1
6157956,6
6130476,117
530716,83
6128284,23
6155315,1
588759,2
6156637,7
6157958,13
6131799,8
6128286,1
527205,1
530719,31
6128287,2
529863,25
41051,1
527208,1
528543,3
528544,1
589783,5
527209,4
41052,104
6156340,2
6100940,36
6130182,2
6100941,1
590656,7
41053,14
6155020,13
6158983,33
6155021,1
6157663,3
41054,26
6100942,6
529868,31
41055,3825
6155022,48
42377,1
41056,41
6155023,1
6100944,15
6156345,1
557905,2
528549,2
589788,6
530425,2
41057,257
6155024,4
589789,1
587147,1
588468,1
42379,3
6156347,3
557908,2
6160880,3
6156349,1
528251,7
42080,7
6160882,6
6155029,9
590363,1
591684,3
6158691,1
6160884,1
6157370,6
591686,1
588172,10
557610,46
6158693,2
6157372,8
6160886,5
557612,1
6156052,2
528256,9
6126812,3
589496,6
590368,11
6157374,3
6100653,4
589497,6
557614,1
6156054,9
6160889,3
557615,1
6158697,1
6156055,4
6126814,1
6100656,1
588178,2
6126815,2
530137,4
558938,18
6100657,18
530138,1
591391,2
557618,1
6156058,3
531474,1
530139,7
6156059,11
6101995,3
531476,63
558640,1
560833,8
591396,1
6100360,2
6157081,10
558641,1
6157082,1
558642,1
6127841,5
6100361,23
6125200,18
6160598,1
6127843,5
556002,1
557323,13
590078,39
591399,1
560838,45
6127845,20
559981,75
560839,4
557326,2
6126526,2
6157088,20
531182,6
6157089,1
6127848,5
556007,34
6126528,1
557329,10
41931,6
586700,9
6155901,10
560543,9
586703,1
559989,9
6100070,14
561865,23
41936,1
586704,1
561866,35
6128873,2
560546,1
561867,5
561868,5
6127553,10
557033,5
558354,3
6126233,16
558355,3
6127555,8
560549,21
6155909,3
6100078,1
587730,1
42962,3
560250,12
560251,1
41642,4
6126239,9
6156930,7
6155610,1
559697,1
6155611,3
559698,40
6156932,3
41645,1
6155612,1
586413,15
6127261,2
561576,10
41646,9
6130775,1
41647,1
587736,1
6156935,2
42968,855
6155615,1
527502,1
560257,5
6156936,121
527503,5
586417,5
560258,6
41649,41
6156937,16
560259,1
6127265,1
586419,1
527505,2
6155619,3
588760,1
41350,57
588761,8
41351,97
6157960,3
561282,1
42673,2
41352,34
6157962,1
587442,2
41354,1
587443,1
6155321,12
590958,3
586123,1
588765,7
6154001,7
6155322,24
6130485,1
6128292,1
6154002,11
41356,50
6155323,7
6155324,1
6156645,2
527212,1
6155325,3
530726,1
41358,2
6157967,294
530727,2
6157968,5
41359,535
6154005,4
6156647,17
587449,2
590660,8
6156648,8
528550,57
-1433874847,2494
586129,26
6128297,4
6154007,2
6155329,1
589790,1
590662,13
42380,21
41060,1
529874,2
6130190,1
42382,18
6130191,3
588472,5
6157671,2
591986,3
587151,3
6155030,2
6157672,2
6130192,1
6100951,6
6158994,1
6130193,12
587154,1
530433,3
589797,1
6156354,2
588476,5
41066,272
6157675,2
588478,1
6157677,16
6100956,6
6130198,2
6157679,1
531773,2
6155037,1
557918,1
6160890,16
6156358,5
528260,64
530439,12
6156359,1
590372,5
591693,14
6157380,1
590375,1
557620,17
556300,1
557622,14
6160897,1
6157384,1
588185,2
590378,1
558944,2
6125501,1
6100663,7
530144,2
42097,4
588186,1
6157385,2
558945,14
530145,1
530146,1
6157387,8
6100667,1
6156067,7
6125505,2
531483,20
6156068,9
529290,48
557629,1
6125507,16
6126829,8
590082,1
560841,7
529293,27
560843,1
6100370,6
6126530,4
557331,3
531489,4
558652,20
590087,2
6125210,3
556011,1
558653,6
590088,2
6127854,1
556013,4
6157096,1
6126534,3
6127855,4
558656,2
6157097,1
6125214,4
559992,164
6157098,5
6126536,4
6100377,2
6100379,4
6126539,1
6125218,1
560551,4
560552,1
41943,2
561873,9
559997,1
6155911,1
586712,2
586713,1
561875,6
527801,1
6126241,2
586715,1
6100082,14
6155914,2
558363,15
561877,10
6155915,1
41948,698
6126244,1
527804,3
586718,20
6127566,8
6126246,1
6100087,2
561580,9
527807,10
41650,17
527808,2
6156940,1
41652,1
561582,29
585100,2
561583,10
585101,40
41654,3
6130783,16
6155622,1
6128591,1
558071,7
6154301,7
527510,52
41656,5
6130785,2
42978,1
586425,5
6130786,5
558073,1
561587,30
6154303,1
6154304,1
41658,4
527512,25
6128594,1
6155625,10
586427,1
587748,1
41659,26
6127274,5
6155626,4
6130788,5
6155627,1
6154306,2
6156948,1
590960,1
558076,6
6127276,3
6128597,5
