BALANCE_TYPE_NAME,BT_ID,SOURCE_CNT,SOURCE_VAL,DISCARDED_CNT,DISCARDED_VAL,BT-CONDITION,CONDITIONAL_SOURCE_CNT,CONDITIONAL_SOURCE_VAL,CONDITIONAL_DISCARDED_CNT,CONDITIONAL_DISCARDED_VAL,TRACK_EXTRA,DISCARDED_REMARK,BT_UNIT_TYPE,SOURCE_NEGATIVE_BALANCE,DISCARDED_NEGATIVE_BALANCE
Free SMS,240,14471676,13028,14471592,49,240:>:0:::;,0,0,0,0,;1170-77;,SNA subs balance record ignored-16091;Service class Ignored-21956;Lifecycle lookup mismatch-44391;Balance_Type match condition failed-14388932;Subscriber relation missing-222;,SMSs,0,0
Free SMS,240,14471676,13028,14471592,49,240:>=:1:::;SmsBndlType-=-1#SmsBndl1Recur-=-T,0,0,0,0,;1170-77;,SNA subs balance record ignored-16091;Service class Ignored-21956;Lifecycle lookup mismatch-44391;Balance_Type match condition failed-14388932;Subscriber relation missing-222;,SMSs,0,0
Free SMS,240,14471676,13028,14471592,49,240:>=:1:::;SmsBndlType-=-2#SmsBndl2Recur-=-T,0,0,0,0,;1170-77;,SNA subs balance record ignored-16091;Service class Ignored-21956;Lifecycle lookup mismatch-44391;Balance_Type match condition failed-14388932;Subscriber relation missing-222;,SMSs,0,0
Free SMS,240,14471676,13028,14471592,49,240:>=:1:::;SmsBndlType-=-2#SmsBndl2Recur-!=-T,0,0,0,0,;1170-77;,SNA subs balance record ignored-16091;Service class Ignored-21956;Lifecycle lookup mismatch-44391;Balance_Type match condition failed-14388932;Subscriber relation missing-222;,SMSs,0,0
Free SMS,240,14471676,13028,14471592,49,240:>=:1:::;SmsBndlType-=-1#SmsBndl1Recur-!=-T,0,0,0,0,;1170-77;,SNA subs balance record ignored-16091;Service class Ignored-21956;Lifecycle lookup mismatch-44391;Balance_Type match condition failed-14388932;Subscriber relation missing-222;,SMSs,0,0
Last Expiry Offset,241,113903,882268,113903,882268,241:::::;,0,0,0,0,,Balance_Type Ignored-97703;SNA subs balance record ignored-16091;Service class Ignored-106;Lifecycle lookup mismatch-3;,Days to wallet expiry,-390315,0
_pc_PC_CRD_BusAuto40_MRC,599,17813,106878,0,0,599:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_PC_CRD_BusAuto40_MRC,599,17813,106878,0,0,599:or:3#4#5#6:::;,17813,106878,0,0,,,State,0,0
_pc_IntTakerOffer1Prim,559,308,308,308,308,559:::::;,0,0,0,0,,Balance_Type lookup failed-308;,State,0,0
_pc_0050 AED Auto Topup,519,423,2518,4,4,519:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-4;,State,0,0
_pc_0050 AED Auto Topup,519,423,2518,4,4,519:or:3#4#5#6:::;,419,2514,0,0,,Periodic Charge is not active-4;,State,0,0
Micro IDD1,1732,11411,0,11411,0,1732:>=:1:::;,0,0,0,0,,Balance_Type match condition failed-11411;,Time,0,0
_pc_NPP VP-3,1460,78,253,7,3,1460:or:3#4#5#6:::;,69,234,0,0,;91-2;,Periodic Charge is not active-7;,State,0,0
_pc_NPP VP-3,1460,78,253,7,3,1460:or:7#8#9:::;,2,16,0,0,;91-2;,Periodic Charge is not active-7;,State,0,0
_pc_NPP VP-4,1461,13,34,2,1,1461:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-1;Balance_Type expired-1;,State,0,0
_pc_NPP VP-4,1461,13,34,2,1,1461:or:3#4#5#6:::;,11,33,0,0,,Periodic Charge is not active-1;Balance_Type expired-1;,State,0,0
Bonus Data Offer,1420,70304,0,70304,0,1420:::::;,70304,-3787068,70304,-3787068,,Balance_Type Ignored-70304;,Cash,0,0
_pc_NPP Data Bundle D1,1462,254,629,190,189,1462:or:3#4#5#6:::;,34,204,0,0,;91-30;,Periodic Charge is not active-189;Balance_Type expired-1;,State,0,0
_pc_NPP Data Bundle D1,1462,254,629,190,189,1462:or:7#8#9:::;,30,236,0,0,;91-30;,Periodic Charge is not active-189;Balance_Type expired-1;,State,0,0
NPP Limited,1421,427,0,427,0,1421:>=:1:::;,0,0,0,0,,Balance_Type match condition failed-18;Balance_Type expired-409;,Cash,0,0
_pc_NPP Data Bundle D2,1463,57,164,38,37,1463:or:7#8#9:::;,7,55,0,0,;91-7;,Periodic Charge is not active-37;Balance_Type expired-1;,State,0,0
_pc_NPP Data Bundle D2,1463,57,164,38,37,1463:or:3#4#5#6:::;,12,72,0,0,;91-7;,Periodic Charge is not active-37;Balance_Type expired-1;,State,0,0
_pc_NPP Data Bundle M1,1464,65,334,12,12,1464:or:3#4#5#6:::;,51,306,0,0,;91-2;,Periodic Charge is not active-12;,State,0,0
_pc_NPP Data Bundle M1,1464,65,334,12,12,1464:or:7#8#9:::;,2,16,0,0,;91-2;,Periodic Charge is not active-12;,State,0,0
_pc_PeerCounterReset,1190,90838,330270,48466,76038,1190:or:3#4#5#6:::;,42401,254406,29,174,,Periodic Charge is not active-48213;Service class Ignored-1;Lifecycle lookup mismatch-1;Balance_Type expired-251;,State,0,0
_pc_PeerCounterReset,1190,90838,330270,48466,76038,1190:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-48213;Service class Ignored-1;Lifecycle lookup mismatch-1;Balance_Type expired-251;,State,0,0
_pc_NPP Data Bundle M2,1465,77,416,10,10,1465:or:7#8#9:::;,2,16,0,0,;91-2;,Periodic Charge is not active-10;,State,0,0
_pc_NPP Data Bundle M2,1465,77,416,10,10,1465:or:3#4#5#6:::;,65,390,0,0,;91-2;,Periodic Charge is not active-10;,State,0,0
IDDPromo,1191,122879,1310901,122856,0,1191:>=:-99999999:::;,122879,764601,122856,-546300,;1137-9;,Service class Ignored-12;Balance_Type match condition failed-122843;Subscriber relation missing-1;,Time,0,0
_pc_NPP Data Bundle M3,1466,25,135,3,3,1466:or:3#4#5#6:::;,22,132,0,0,,Periodic Charge is not active-3;,State,0,0
_pc_NPP Data Bundle M3,1466,25,135,3,3,1466:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-3;,State,0,0
_pc_IntMin15Expiry,1192,58,129,44,45,1192:or:3#4#5#6:::;,14,84,0,0,,Periodic Charge is not active-28;Balance_Type expired-16;,State,0,0
_pc_IntMin15Expiry,1192,58,129,44,45,1192:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-28;Balance_Type expired-16;,State,0,0
_pc_0200 AED Auto Topup,1111,223,358,196,196,1111:or:3#4#5#6:::;,27,162,0,0,,Periodic Charge is not active-196;,State,0,0
_pc_0200 AED Auto Topup,1111,223,358,196,196,1111:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-196;,State,0,0
_pc_NPP Data Bundle M4,1467,35,207,1,1,1467:or:7#8#9:::;,2,14,0,0,;91-2;,Periodic Charge is not active-1;,State,0,0
_pc_NPP Data Bundle M4,1467,35,207,1,1,1467:or:3#4#5#6:::;,32,192,0,0,;91-2;,Periodic Charge is not active-1;,State,0,0
PrepaidTPlan,1193,145828,135807,145828,135807,1193:::::;,145828,135807,145828,135807,,Service class Ignored-2;Balance_Type Ignored-145826;,Units,0,0
_pc_TopUp_PC,1152,69,342,69,342,1152:::::;,0,0,0,0,,Balance_Type lookup failed-69;,State,0,0
_pc_NPP XL-Data Bundle M1,1468,1,6,0,0,1468:or:3#4#5#6:::;,1,6,0,0,,,State,0,0
_pc_NPP XL-Data Bundle M1,1468,1,6,0,0,1468:or:7#8#9:::;,0,0,0,0,,,State,0,0
MNMI,1194,5449,0,5449,0,1194:::::;,5449,-8600,5449,-8600,,Balance_Type Ignored-5449;,Time,0,0
Data24hFree,1153,131083,125467,5616,0,1153:=:1:::;,125467,125467,0,0,,Balance_Type match condition failed-5616;,Units,0,0
_pc_NPP XL-Data Bundle M2,1469,2,12,0,0,1469:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_NPP XL-Data Bundle M2,1469,2,12,0,0,1469:or:3#4#5#6:::;,2,12,0,0,,,State,0,0
MobileDataInit,1154,25836,0,25836,0,1154:=:1:::;,0,0,0,0,,Balance_Type match condition failed-25836;,Units,0,0
RoamDataDailyA,1196,5550,29442972,1,0,1196:>=:-99999999:::;,5550,227810467,1,-4102,;5056-5492;,Service class Ignored-1;,Cash,-4374292,0
RoamDataDailyB,1197,472,0,0,0,1197:>=:-99999999:::;,472,-24318,0,0,;5049-472;,,Cash,-24318,0
BlockPPU,1156,973834,3634724,963088,3623978,1156:=:1:::;,11396,11396,650,650,,Service class Ignored-73;Lifecycle lookup mismatch-3;Balance_Type match condition failed-962360;Balance_Type expired-649;Subscriber relation missing-3;,Units,0,0
_pc_0300 AED Auto Topup,1116,11,51,3,3,1116:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-3;,State,0,0
_pc_0300 AED Auto Topup,1116,11,51,3,3,1116:or:3#4#5#6:::;,8,48,0,0,,Periodic Charge is not active-3;,State,0,0
RoamingDataWeekly,1198,3263,159909472,0,0,1198:>=:-99999999:::;,3263,1218041691,0,0,;5057-3200;,,Cash,-1883445,0
