UC_ID,TARGET_CNT,TARGET_VALUE_TOTAL,ADD_UC_CNT,ADD_UC_VALUE_TOTAL
110611,19,64,0,0
501421,2324,966246981632,0,0
251301,3,0,0,0
126201,1,300,0,0
105701,3751,2099688,0,0
502021,356,400249501696,0,0
253401,2,13720,0,0
250706,690,373200,0,0
108901,164,1677902,0,0
253616,764,5223,0,0
103604,249,301508,0,0
251304,3,0,0,0
250721,719,142244372480,0,0
303328,529,873506996224,0,0
253404,2,11669,0,0
133004,2201,38920192,0,0
251307,3,0,0,0
301706,16,281060,0,0
505225,8,0,0,0
108004,1,8990,0,0
300606,11211,28578772,0,0
253407,2,19841,0,0
301721,18,17808007168,0,0
250511,12,50,0,0
600028,65987,7126380675072,0,0
303806,33,33790,0,0
113104,10,1997,0,0
300621,11156,13589352972288,0,0
601529,148,0,0,0
303807,33,11841,0,0
251111,28,99,0,0
250514,12,8,0,0
500421,9545,150928883712,0,0
501921,518,180351739904,0,0
250301,141,302563,1,48000
253901,2,190,0,0
122004,4520,31898039,0,0
104701,3887,18620029,0,0
301728,11,2489131008,0,0
105301,137,398957,0,0
253904,2,0,0,0
108501,277,689264,2,9600
507821,29,18432032768,0,0
253216,317,0,0,0
506321,20,49742471168,0,0
303828,33,49461592064,0,0
103204,2,60,0,0
107904,1,4200,1,4200
250307,141,32044,1,12000
102607,3,0,0,0
109101,10,26311,2,12000
505725,3200,6871946171392,0,0
509921,6658,12653850132480,0,0
132404,1171,8241789,0,0
511421,85,51034624000,0,0
508421,3,493486080,0,0
254505,2,0,0,0
253907,2,937,0,0
107004,784,22488354,0,0
504625,63,5368540160,0,0
301306,6,25521,0,0
501028,871,20000606945280,0,0
302806,2,16178,0,0
300206,502,20439,0,0
110007,1,0,0,0
301321,6,4627300352,0,0
303406,2817,237020,0,0
250111,7888,25775,0,0
302821,2,2890399744,0,0
101311,2,60,0,0
303407,2864,57329,0,0
300221,525,3952443392,0,0
601129,19,8883994624,0,0
254525,2,0,0,0
254311,16,5953,0,0
501521,1756,2296875129856,0,0
251401,7,16858,0,0
251616,29,63,0,0
252001,2,1620,0,0
502121,192,570342054912,0,0
105801,615,4295032,0,0
253501,16,66132,0,0
254314,2,668,0,0
250806,950,1042500,0,0
103704,471,955941,0,0
253716,42,78,0,0
504221,1,10737356800,0,0
303428,2879,4887754571776,0,0
132904,21705,595189883,0,0
108101,3427,13969366,18,162000
250821,991,824283611136,0,0
253504,17,80055,0,0
133104,3170,85881867,0,0
251407,7,6000,0,0
505325,2359,5065913925632,0,0
301806,270,20554,0,0
252007,2,0,0,0
300706,7597,28369209,0,0
253507,17,219456,0,0
303906,4,5920,0,0
302406,5,10498,0,0
303907,4,0,0,0
300721,7507,17477068029952,0,0
601629,59,0,0,0
113204,19,22605,1,1800
251211,7,312,0,0
251901,2,9900,0,0
500521,9331,373203533824,0,0
250401,86,114239,0,0
251001,348,3483123,1,30000
104801,54,1062922,0,0
501121,2,0,0,0
251904,2,1980,0,0
301828,270,11890393088,0,0
250404,86,258068,0,0
