OFFER_ID,TARGET_CNT,MASTER_MAPPED_CNT
1140,180,0
1141,116,5
1100,1,0
4024,871,0
1142,513185,0
1102,1,0
4025,2289,0
1143,10746,0
1144,97,0
1103,51439,0
1145,1422,0
1146,4835,0
1105,9,0
1147,2721,0
1106,19,0
1148,23730,0
1149,117607,0
1108,8,2
1109,19439,0
5060,26,14
1060,1,0
5061,51,0
5020,395,0
5062,65,0
5021,477,0
1062,32,0
5063,22,0
5022,229,0
1063,35,0
5064,103,71
1064,66,0
5065,1,0
5024,16333,0
1065,20,0
5066,35,33
5025,12233,0
1066,27,0
5067,24412,0
5026,3002,0
1067,7,0
1026,3,0
5068,26836,16267
5027,100,0
1027,1,0
5069,47,25
5028,1258,0
1069,3,0
5029,11,0
1029,35,0
351,147718,0
352,62,0
311,4007107,0
353,1957,72
355,1534,0
356,101095,0
1261,46,0
1220,4520,0
1262,1,0
2532,4669,4352
2533,13,0
2534,2,0
2535,17,0
2536,764,0
2537,42,0
2538,6,0
2539,918,916
